"V1" "V2"
"theta_cur" 2.17390184210024 7.63376825272347
"theta_cur" 3.49511339177229 6.14212579686294
"theta_cur" 3.44397080339561 5.89253886055199
"theta_cur" 3.41131478313722 5.84017806898721
"theta_cur" 2.60498780814319 6.11597811825392
"theta_cur" 3.10854850850907 7.38528315716454
"theta_cur" 4.17933998271255 6.05854351519253
"theta_cur" 3.57464166447093 4.6474336078979
"theta_cur" 3.65842089839819 5.52078821658019
"theta_cur" 2.39265141545119 5.8376669022134
"theta_cur" 3.92834914472978 4.44281975460765
"theta_cur" 3.16414806353454 4.84655283457669
"theta_cur" 1.7705786355453 5.03972260260564
"theta_cur" 2.37728234686853 6.85664981236123
"theta_cur" 4.66314815063303 6.55642395203755
"theta_cur" 3.19085641447305 4.72016663504844
"theta_cur" 2.95759715776957 7.24663638215421
"theta_cur" 2.80533952013178 4.34091510678225
"theta_cur" 4.08138546062181 5.05407614178878
"theta_cur" 3.24569468029184 7.19658277796323
"theta_cur" 4.44979814524588 3.63411787406483
"theta_cur" 1.21208072174848 3.77254658159577
"theta_cur" 1.63252848504166 4.93283065561254
"theta_cur" 4.45669070312749 4.69897696237869
"theta_cur" 2.95489620484196 7.51991493699585
"theta_cur" 3.22479944704775 4.53222417725675
"theta_cur" 2.97784322645094 4.46658632167586
"theta_cur" 3.9883441429223 5.52740535332127
"theta_cur" 2.66937375903557 5.11839606249954
"theta_cur" 2.81808034534109 4.41504430765454
"theta_cur" 2.81682049867888 5.66941299239921
"theta_cur" 3.3339643781791 6.78333753555958
"theta_cur" 4.37690102508065 6.03843215672324
"theta_cur" 3.59101277659988 4.5758865685229
"theta_cur" 3.93633624509106 6.09869503015531
"theta_cur" 3.22747218578944 4.31034189778287
"theta_cur" 2.74403370747979 5.35691938837088
"theta_cur" 3.79077784667533 4.32970399631072
"theta_cur" 2.53870560181511 6.79920417005632
"theta_cur" 3.51052378277643 6.98615398785336
"theta_cur" 3.55986441528124 5.26608401931903
"theta_cur" 3.22515389675707 6.68146332543678
